Algorithm;Instance_name;Instance_size;800;810;820;830;840;850;860;870;880;890;900;910;920;930;940;950;960;970;980;990;1000;1010;1020;1030;1040;1050;1060;1070;1080;1090;1100;1110;1120;1130;1140;1150;1160;1170;1180;1190;1200;1210;1220;1230;1240;1250;1260;1270;1280;1290;1300;1310;1320;1330;1340;1350;1360;1370;1380;1390;1400;1410;1420;1430;1440;1450;1460;1470;1480;1490;1500;1510;1520;1530;1540;1550;1560;1570;1580;1590;1600;1610;1620;1630;1640;1650;1660;1670;1680;1690;1700;1710;1720;1730;1740;1750;1760;1770;1780;1790
steepest;ft70;70;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883;70883
steepest;ft70;70;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456;72456
steepest;ft70;70;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104;72104
steepest;ft70;70;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288;71288
steepest;ft70;70;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803;69803
steepest;ft70;70;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473;69473
steepest;ft70;70;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015;71015
steepest;ft70;70;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138;71138
steepest;ft70;70;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200;71200
