Algorithm;Instance_name;Instance_size;Number_of_executions;Execution_time;Execution_steps;Final_cost;Initial_quality;Best_known_cost;Similarity;Number_of_improvements;Quality;Initial_to_final_execution_ratio
steepest;ft70;70;30;131.74540000000002;106260;44319;0.8328808212447961;38673;0.22857142857142856;242;0.14599332867892328;1.5993817550034974
steepest;ft70;70;30;122.6738;115920;45066;0.8735551935458847;38673;0.2857142857142857;244;0.165309130401055;1.6077752629476767
steepest;ft70;70;30;128.158;108675;45592;0.8644532361078788;38673;0.18571428571428572;216;0.17891035089080237;1.5815055272854888
steepest;ft70;70;30;136.1452;127995;47306;0.8433532438652289;38673;0.21428571428571427;234;0.22323067773381947;1.506954720331459
steepest;ft70;70;30;110.12089999999999;106260;47607;0.8049543609236418;38673;0.24285714285714285;214;0.23101388565665967;1.4662339571911693
steepest;ft70;70;30;103.4798;94185;46273;0.7964212758255114;38673;0.14285714285714285;204;0.19651953559330798;1.501372290536598
steepest;ft70;70;30;113.6032;101430;46197;0.8362940552840483;38673;0.22857142857142856;233;0.19455434023737492;1.5372210316687231
steepest;ft70;70;30;107.1701;94185;45492;0.8394745688206242;38673;0.2571428571428571;252;0.17632456752773254;1.5637474720830036
steepest;ft70;70;30;118.4442;115920;44768;0.8410777545057275;38673;0.2857142857142857;258;0.15760349597910686;1.590421729807005
steepest;ft70;70;30;127.745;115920;44846;0.8330359682465803;38673;0.2714285714285714;281;0.15962040700230135;1.5807206885786915
steepest;ft70;70;30;121.3709;106260;45986;0.8150647738732449;38673;0.2571428571428571;269;0.18909833734129755;1.5264210846779456
steepest;ft70;70;30;103.8471;91770;44931;0.9006800610244874;38673;0.2857142857142857;194;0.16181832286091072;1.635952905566313
steepest;ft70;70;30;118.69340000000001;111090;46633;0.8678406123135004;38673;0.2571428571428571;276;0.20582835570035943;1.5490103574721763
steepest;ft70;70;30;97.8181;94185;45658;0.8137460243580793;38673;0.3142857142857143;208;0.18061696791042847;1.5362696570152
steepest;ft70;70;30;98.61749999999999;101430;45540;0.782897628836656;38673;0.22857142857142856;229;0.17756574354200605;1.5140535792709706
steepest;ft70;70;30;97.4129;96600;46851;0.8287694256975151;38673;0.18571428571428572;211;0.21146536343185168;1.5095515570638833
steepest;ft70;70;30;100.0281;103845;46052;0.9127039536627621;38673;0.2571428571428571;277;0.19080495436092365;1.6062277425518978
steepest;ft70;70;30;104.9398;99015;45242;0.8634447805962816;38673;0.2571428571428571;159;0.16986010912005792;1.592878298925777
steepest;ft70;70;30;109.388;106260;44964;0.8934915832751532;38673;0.3142857142857143;255;0.16267163137072377;1.6285695222844943
steepest;ft70;70;30;108.02680000000001;103845;46617;0.8429912341943991;38673;0.17142857142857143;198;0.20541463036226826;1.528927215393526
steepest;ft70;70;30;102.55;99015;46486;0.796705711995449;38673;0.3;232;0.20202725415664677;1.4947295960074
steepest;ft70;70;30;94.0944;94185;45334;0.785483412199726;38673;0.2714285714285714;191;0.17223902981408218;1.5231393655975647
steepest;ft70;70;30;97.97409999999999;96600;48442;0.863237917927236;38673;0.17142857142857143;231;0.25260517673829286;1.4874901944593535
steepest;ft70;70;30;147.6807;123165;44345;0.8849584981770228;38673;0.32857142857142857;255;0.14666563235332145;1.643860638177923
steepest;ft70;70;30;133.32649999999998;130410;45191;0.8412846171747731;38673;0.37142857142857144;259;0.1685413596048923;1.5757119780487265
steepest;ft70;70;30;108.02040000000001;103845;47375;0.8780027409303649;38673;0.14285714285714285;238;0.22501486825433764;1.5330448548812665
steepest;ft70;70;30;115.58200000000001;111090;44719;0.8713572776872753;38673;0.21428571428571427;297;0.15633646213120264;1.6183501419978086
steepest;ft70;70;30;99.016;94185;46898;0.8439221162051044;38673;0.17142857142857143;198;0.2126806816124945;1.52053392468762
steepest;ft70;70;30;103.14030000000001;99015;45701;0.8732966152095777;38673;0.2;236;0.18172885475654849;1.5852169536771625
steepest;ft70;70;30;130.06490000000002;125580;44008;0.8448788560494401;38673;0.18571428571428572;251;0.13795154241977606;1.6212279585529903
