Algorithm;Instance_name;Instance_size;800;810;820;830;840;850;860;870;880;890;900;910;920;930;940;950;960;970;980;990;1000;1010;1020;1030;1040;1050;1060;1070;1080;1090;1100;1110;1120;1130;1140;1150;1160;1170;1180;1190;1200;1210;1220;1230;1240;1250;1260;1270;1280;1290;1300;1310;1320;1330;1340;1350;1360;1370;1380;1390;1400;1410;1420;1430;1440;1450;1460;1470;1480;1490;1500;1510;1520;1530;1540;1550;1560;1570;1580;1590;1600;1610;1620;1630;1640;1650;1660;1670;1680;1690;1700;1710;1720;1730;1740;1750;1760;1770;1780;1790
SA;ft70;70;73293;73524;74199;73197;74916;73646;72791;72243;73130;74040;75628;74061;73946;72519;73537;71259;71502;72615;71047;70773;73085;72679;72161;74662;73855;72934;70771;70336;69626;71156;71965;69470;71946;71124;72007;69999;69271;70931;71488;70685;70484;68347;69056;71640;71113;71473;71359;70388;70268;71222;71663;69802;69169;67687;68506;71502;71015;70990;69629;69850;67270;68157;68867;68682;69887;68971;69588;66183;70339;70989;72739;72054;72236;71089;70829;71699;70374;70976;71590;68736;68920;68691;70331;68979;67289;71022;71443;73942;72032;73624;73319;74000;72129;69348;69436;70618;70632;70943;71050;70001
SA;ft70;70;72581;71959;71523;73498;71694;71394;71353;71869;73616;71730;71160;69677;71581;72891;70895;72025;71100;70773;70495;72174;71022;72996;74515;72874;71253;72427;73199;70463;71370;72517;73321;72885;76110;73318;71265;71038;70703;71710;73470;73909;74031;72537;69768;69569;72947;72815;70752;70061;74739;72731;70358;69791;72397;71177;72205;70433;71940;70449;69628;70747;69206;70303;70818;70937;71348;70664;69836;68944;69290;69241;70832;70613;68361;71790;71015;74107;70782;70735;70460;69505;69620;71574;71015;70469;70355;72172;72848;71461;69515;71920;70590;72088;71396;70910;71617;70400;71104;73350;72086;72821
SA;ft70;70;75498;72916;73441;72677;71961;69487;69242;70501;72088;72497;71650;71493;73284;73782;72734;71589;69332;69347;70971;72362;73855;72417;70782;69767;69093;69970;69897;69949;71068;68930;69336;67871;69866;70269;71730;70384;72222;71597;72286;72543;71248;71731;71380;72232;70402;70545;72123;73201;69414;70255;72617;72909;72176;71642;70714;72252;71600;72364;72401;72075;71438;72089;70077;68926;69881;70947;69594;68738;72563;72413;69736;68812;70354;70275;70607;69222;72649;71189;72259;71867;73608;71850;69950;68775;70020;68756;70257;73611;74186;72600;72517;73528;72661;72488;68477;68307;68125;68110;69082;71137
SA;ft70;70;69888;68662;71953;70805;70300;73500;72348;69143;70621;72372;69742;70468;70394;71282;70843;71912;74204;73132;73183;69172;69766;70706;72143;72513;72273;70857;72301;72381;71238;71917;70591;69626;71320;74160;73531;69530;70573;70265;71030;72066;69935;70044;72023;72194;73248;72640;73246;71772;71238;70497;70862;71665;72634;73839;74999;74080;70431;69974;69124;69338;70641;72890;72360;71187;71717;71101;72700;71088;70742;71279;71961;69655;71700;71436;69198;68615;70975;72424;71878;72293;71302;72478;73486;71680;72067;71596;70563;72425;72380;73699;71892;72479;70434;70852;74168;73025;71384;70049;69916;69459
SA;ft70;70;72528;72419;71293;72876;71492;72927;72618;73349;72185;72708;73376;69500;71171;70906;71328;70842;72291;73809;70033;70196;71185;72286;72726;74710;73769;73355;72861;73425;72960;71236;69206;70864;70936;72251;73438;73013;71744;71698;70248;70092;71170;73579;73793;73458;74168;74533;73195;72571;70195;68779;69935;72312;71959;70684;70086;70023;71326;71940;72336;75053;73003;71858;69859;73006;71964;71755;71058;71173;69802;69612;72971;74685;72633;72589;71060;73080;71001;72412;72241;72435;70825;71861;72951;71729;73066;74071;73136;73315;74975;71406;70952;74461;69837;71148;72528;71081;70669;70283;72052;72376
SA;ft70;70;72421;74878;73719;71629;74621;74629;70402;72313;71306;70496;69729;70550;71161;69129;72251;71182;70769;70907;72520;72221;71889;71702;69209;72553;71669;70289;71077;71031;70611;73159;73466;73291;72028;71305;70702;69352;68161;68989;68414;70008;68839;69222;72075;71316;69947;72474;69980;70869;72058;72038;72374;70869;71657;74056;73379;72503;71124;71559;71069;70990;72540;73271;73270;71651;72133;72444;70379;72419;70981;71881;72762;73999;73274;73393;68501;67954;71004;68098;67263;67784;68602;68632;69707;69918;69229;70644;70751;71399;73120;70027;72495;71122;72243;72574;71020;70551;72815;74204;71565;71216
SA;ft70;70;73119;74669;73572;72216;73755;72760;74239;75838;69816;70684;71768;72360;73807;72055;72527;75133;75749;69846;70896;71501;72263;71119;70643;72339;70921;74072;73889;69779;69937;69792;69140;71756;69435;71670;72477;73322;74147;71797;71930;74586;73811;74758;72692;74238;73956;74237;73121;72418;70721;70378;69742;70606;70939;71703;71606;71308;71724;72667;72665;71687;71531;72127;71556;71789;73679;71022;69120;71860;73272;72476;71040;72757;72523;72153;73417;71998;72862;71640;71270;72737;72340;75248;74433;72358;71060;70610;69116;71037;71785;68913;70650;69857;67301;67406;67275;68851;70070;72812;76014;74062
SA;ft70;70;71659;70932;70200;73464;75064;73857;74705;73067;74272;73922;74105;72564;71050;71567;71971;70153;71622;73908;72127;69959;69631;72086;72765;72764;73582;71297;73254;74658;73952;73469;73842;71037;70558;73159;72072;73079;69643;70645;68584;71373;72638;72028;73363;73479;73090;71812;70793;70448;70721;70233;71514;70951;71222;72102;75153;73875;72215;72062;69259;71982;72872;73424;70664;71375;71414;69652;71355;72041;73021;72828;71000;69141;71013;69202;68612;69435;70182;68941;70271;69110;69354;69714;72522;73885;76349;72980;74178;73597;72536;74022;73024;72206;70495;72229;71419;72196;72826;71950;74603;74311
SA;ft70;70;72446;69662;70359;71660;71306;70658;72225;72358;69852;67201;70996;69071;70390;71280;72553;74316;73603;74009;71814;73250;73200;73228;75404;73081;73638;73118;75437;73962;72075;70207;70492;72406;71725;73349;71758;70078;71661;73861;72163;74461;75701;71583;73414;72604;72080;70372;74311;73632;73163;74391;73205;72362;73360;72001;71802;71987;71520;71433;71926;72238;73377;72093;70355;70804;71633;71208;70953;70343;70570;73989;73682;72404;72653;73897;74339;72821;69568;69266;71575;72383;72222;72072;72213;72686;73799;71053;70661;70576;69631;72126;70649;71871;73064;72782;73305;72709;72296;73283;73610;75137
