Instance Name;ft70
Mean Execution Time;0,13146
Execution time;0,09509999999999999
Execution steps;69
Execution final cost;42412
Best known cost;38673
72826
71417
70592
71177
71002
70722
70921
70931
70078
70378
69525
67853
68332
68369
67743
67641
67373
65523
65105
64028
64028
63205
62753
62350
60776
59910
59569
59377
58647
58504
57029
56951
57031
55995
55157
54504
53875
53875
53631
52604
52560
52257
52339
52122
50638
50107
50316
49471
49862
49900
49456
49480
49082
48484
48330
47701
46912
45827
45176
44910
43932
44138
43705
42634
42750
42999
43236
42494
42412
