Steps;Time;Cost
0;5,679799999999999;47538
0;4,6365;47538
0;4,6806;47538
0;4,623;47538
0;4,6149;47538
0;4,6299;47538
0;4,7039;47538
0;4,6157;47538
0;4,6103000000000005;47538
0;4,6091999999999995;47538
0;4,6141000000000005;47538
0;4,6064;47538
0;4,642;47538
0;4,6042000000000005;47538
0;4,6016;47538
0;4,6184;47538
0;4,6442000000000005;47538
0;4,6657;47538
0;4,6177;47538
0;4,6079;47538
0;4,6402;47538
0;4,6518999999999995;47538
0;4,6825;47538
0;4,629300000000001;47538
0;4,6341;47538
0;4,6176;47538
0;4,6346;47538
0;4,610600000000001;47538
0;4,6144;47538
0;4,6091;47538
0;4,7111;47538
0;4,6493;47538
0;4,6333;47538
0;4,6166;47538
0;4,607;47538
0;4,6113;47538
0;4,6271;47538
0;4,8971;47538
0;4,6168;47538
0;4,6197;47538
0;4,6281;47538
0;4,6145;47538
0;4,6035;47538
0;4,601;47538
0;4,6072;47538
0;4,6109;47538
0;4,627400000000001;47538
0;4,6489;47538
0;4,655600000000001;47538
0;4,6533;47538
0;4,631200000000001;47538
0;4,685;47538
0;4,6196;47538
0;4,636;47538
0;4,701099999999999;47538
0;4,636699999999999;47538
0;4,6545;47538
0;4,634;47538
0;4,6349;47538
0;4,7098;47538
0;4,7477;47538
0;4,6127;47538
0;4,6403;47538
0;4,8845;47538
0;4,946;47538
0;4,6152;47538
0;4,6335;47538
0;4,9213;47538
0;4,6247;47538
0;4,6425;47538
0;4,6352;47538
0;4,637;47538
0;4,6164;47538
0;4,651599999999999;47538
0;4,6933;47538
0;4,602099999999999;47538
0;4,639;47538
0;4,9411000000000005;47538
0;4,6236999999999995;47538
0;4,621;47538
0;4,6276;47538
0;4,8414;47538
0;4,6099;47538
0;4,6299;47538
0;4,6784;47538
0;5,2213;47538
0;4,678599999999999;47538
0;4,7791;47538
0;5,1121;47538
0;4,6353;47538
0;4,6452;47538
0;4,6589;47538
0;4,6248000000000005;47538
0;4,6089;47538
0;4,6101;47538
0;4,6384;47538
0;4,6058;47538
0;4,6108;47538
0;4,6096;47538
0;4,610600000000001;47538
0;4,6080000000000005;47538
0;4,5975;47538
0;4,6045;47538
0;4,6062;47538
0;4,6016;47538
0;4,6096;47538
0;4,6038;47538
0;4,6;47538
0;4,6082;47538
0;4,5982;47538
0;4,6008000000000004;47538
0;4,6077;47538
0;4,6134;47538
0;4,654400000000001;47538
0;4,6068999999999996;47538
0;4,6160000000000005;47538
0;4,6103000000000005;47538
0;4,637;47538
0;4,4973;47538
0;4,5055;47538
0;4,5309;47538
0;4,5359;47538
0;5,5701;47538
0;4,506600000000001;47538
0;4,7602;47538
0;4,4945;47538
0;4,4916;47538
0;4,5008;47538
0;4,5347;47538
0;4,5256;47538
0;4,5378;47538
0;4,4985;47538
0;4,4912;47538
0;4,5078000000000005;47538
0;4,5424999999999995;47538
0;4,4998;47538
0;4,4914000000000005;47538
0;4,495;47538
0;4,4928;47538
0;4,4944;47538
0;4,4931;47538
0;4,5062;47538
0;4,4926;47538
0;4,495500000000001;47538
0;4,493600000000001;47538
0;4,4952000000000005;47538
0;4,4967999999999995;47538
0;4,4942;47538
0;4,4995;47538
0;5,5624;47538
0;4,5176;47538
0;4,4966;47538
0;4,492699999999999;47538
0;4,493600000000001;47538
0;4,5271;47538
0;4,5055;47538
0;4,4939;47538
0;4,5794;47538
0;4,5001;47538
0;4,4958;47538
0;4,4933000000000005;47538
0;4,5028999999999995;47538
0;4,4973;47538
0;4,4939;47538
0;4,4906;47538
0;4,4938;47538
0;4,4939;47538
0;4,5388;47538
0;4,5123999999999995;47538
0;4,53;47538
0;4,4954;47538
0;4,5289;47538
0;4,53;47538
0;4,4990000000000006;47538
0;4,5078000000000005;47538
0;4,493399999999999;47538
0;5,6016;47538
0;4,4919;47538
0;4,5175;47538
0;4,576099999999999;47538
0;4,5107;47538
0;4,5207;47538
0;4,497;47538
0;4,654;47538
0;4,509499999999999;47538
0;4,4932;47538
0;4,4939;47538
0;4,5495;47538
0;4,4942;47538
0;4,496;47538
0;4,4933000000000005;47538
0;4,4914000000000005;47538
0;4,492999999999999;47538
0;4,491700000000001;47538
0;4,5016;47538
0;4,502199999999999;47538
0;4,5241;47538
0;4,493399999999999;47538
0;4,494599999999999;47538
0;4,492699999999999;47538
0;4,509499999999999;47538
0;4,4921;47538
0;4,4947;47538
0;4,4969;47538
0;4,5232;47538
0;4,5277;47538
0;4,586200000000001;47538
0;4,4979;47538
0;4,6613999999999995;47538
0;4,5947000000000005;47538
0;4,502;47538
0;4,5201;47538
0;4,5021;47538
0;4,5051;47538
0;4,5277;47538
0;4,5353;47538
0;4,5056;47538
