Steps;Time;Cost
0;2,6061;24063
0;2,2193;24063
0;2,2208;24063
0;2,1882;24063
0;2,1884;24063
0;2,1867;24063
0;2,2;24063
0;2,2273;24063
0;2,1863;24063
0;2,2169;24063
0;2,1888;24063
0;2,1882;24063
0;2,1884;24063
0;2,1965;24063
0;2,2155;24063
0;2,1873;24063
0;2,1867;24063
0;2,1915;24063
0;2,1905;24063
0;2,1946000000000003;24063
0;2,1887;24063
0;2,1883;24063
0;2,19;24063
0;2,1893;24063
0;2,1879;24063
0;2,1865;24063
0;2,1864;24063
0;2,1876;24063
0;2,1919;24063
0;2,1884;24063
0;2,1865;24063
0;2,1864;24063
0;2,1882;24063
0;2,2033;24063
0;2,1873;24063
0;2,1878;24063
0;2,1885;24063
0;2,1881;24063
0;2,1944;24063
0;2,1885;24063
0;2,1864;24063
0;2,1863;24063
0;2,1895000000000002;24063
0;2,1929;24063
0;2,1955;24063
0;2,1915;24063
0;2,1959000000000004;24063
0;2,2264;24063
0;2,1997;24063
0;2,1905;24063
0;2,2588999999999997;24063
0;2,1896;24063
0;2,1906;24063
0;2,2001;24063
0;2,4516;24063
0;2,2611;24063
0;2,2084;24063
0;2,202;24063
0;2,1947;24063
0;2,1886;24063
0;2,1986000000000003;24063
0;2,1914000000000002;24063
0;2,2274;24063
0;2,6155000000000004;24063
0;2,1924;24063
0;2,1871;24063
0;2,1864;24063
0;2,575;24063
0;2,1862;24063
0;2,2184;24063
0;2,1867;24063
0;2,1871;24063
0;2,1954000000000002;24063
0;2,2009999999999996;24063
0;2,1885;24063
0;2,1883;24063
0;2,1886;24063
0;2,1961;24063
0;2,1882;24063
0;2,1869;24063
0;2,1879999999999997;24063
0;2,1881;24063
0;2,1935000000000002;24063
0;2,1919999999999997;24063
0;2,1871;24063
0;2,1886;24063
0;2,1870000000000003;24063
0;2,1997;24063
0;2,1892;24063
0;2,1883;24063
0;2,1860999999999997;24063
0;2,189;24063
0;2,1949;24063
0;2,1865;24063
0;2,1914000000000002;24063
0;2,1976;24063
0;2,1959000000000004;24063
0;2,1902;24063
0;2,1891;24063
0;2,2188;24063
0;2,1879;24063
0;2,1913;24063
0;2,1911;24063
0;2,1881;24063
0;2,191;24063
0;2,1885;24063
0;2,1923;24063
0;2,1903;24063
0;2,1887;24063
0;2,1882;24063
0;2,1885;24063
0;2,1885;24063
0;2,19;24063
0;2,1893;24063
0;2,1951;24063
0;2,1884;24063
0;2,1888;24063
0;2,1895000000000002;24063
0;2,1876;24063
0;2,1883;24063
0;2,1898999999999997;24063
0;2,1864;24063
0;2,1931;24063
0;2,1895000000000002;24063
0;2,1864;24063
0;2,1901;24063
0;2,2289;24063
0;2,1967000000000003;24063
0;2,1971;24063
0;2,219;24063
0;2,1886;24063
0;2,1896;24063
0;2,1879999999999997;24063
0;2,191;24063
0;2,2222;24063
0;2,1887;24063
0;2,191;24063
0;2,1906999999999996;24063
0;2,1872;24063
0;2,1904;24063
0;2,1904;24063
0;2,1872;24063
0;2,1955;24063
0;2,1881;24063
0;2,1895000000000002;24063
0;2,1889000000000003;24063
0;2,1889000000000003;24063
0;2,1887;24063
0;2,1919999999999997;24063
0;2,1898999999999997;24063
0;2,1909;24063
0;2,1896;24063
0;2,1887;24063
0;2,1885;24063
0;2,1916;24063
0;2,1904;24063
0;2,2262;24063
0;2,1888;24063
0;2,1879999999999997;24063
0;2,2249000000000003;24063
0;2,1902;24063
0;2,1881;24063
0;2,1885;24063
0;2,1882;24063
0;2,1898;24063
0;2,5669999999999997;24063
0;2,1885;24063
0;2,2154000000000003;24063
0;2,2268000000000003;24063
0;2,1982;24063
0;2,1979;24063
0;2,1887;24063
0;2,1867;24063
0;2,1874;24063
0;2,19;24063
0;2,2224;24063
0;2,1884;24063
0;2,1878;24063
0;2,1886;24063
0;2,1904;24063
0;2,1929;24063
0;2,1888;24063
0;2,2149;24063
0;2,2208;24063
0;2,1886;24063
0;2,1942;24063
0;2,2157999999999998;24063
0;2,1895000000000002;24063
0;2,1885;24063
0;2,1902;24063
0;2,1897;24063
0;2,1859;24063
0;2,1884;24063
0;2,1864;24063
0;2,1896;24063
0;2,2178;24063
0;2,1986000000000003;24063
0;2,1887;24063
0;2,1882;24063
0;2,1902;24063
0;2,1936999999999998;24063
0;2,1887;24063
0;2,1881;24063
0;2,1896;24063
0;2,1883;24063
0;2,1929;24063
0;2,1882;24063
0;2,1889000000000003;24063
0;2,1883;24063
0;2,1897;24063
0;2,2001;24063
0;2,1883;24063
0;2,1882;24063
0;2,1883;24063
0;2,1868;24063
0;2,191;24063
0;2,2003;24063
0;2,1961;24063
0;2,189;24063
0;2,1885;24063
0;2,2266;24063
0;2,3;24063
0;2,1888;24063
0;2,1892;24063
0;2,1994;24063
0;2,227;24063
0;2,1867;24063
0;2,1892;24063
0;2,1906999999999996;24063
0;2,1888;24063
0;2,191;24063
0;2,1870000000000003;24063
0;2,1881;24063
0;2,3063;24063
