Steps;Time;Cost
0;3,1215;11563
0;2,2580999999999998;11563
0;2,2426999999999997;11563
0;2,251;11563
0;2,2491;11563
0;2,246;11563
0;2,2418;11563
0;2,3796;11563
0;2,2445;11563
0;2,2357;11563
0;2,3777999999999997;11563
0;2,2406;11563
0;2,2359;11563
0;2,236;11563
0;2,2376;11563
0;2,2390000000000003;11563
0;2,241;11563
0;2,2493000000000003;11563
0;2,2407999999999997;11563
0;2,2353;11563
0;2,2375;11563
0;2,3579;11563
0;2,2417000000000002;11563
0;2,2508;11563
0;2,2388999999999997;11563
0;2,2466;11563
0;2,2367;11563
0;2,2384000000000004;11563
0;2,2407999999999997;11563
0;2,2439999999999998;11563
0;2,2479;11563
0;2,2369;11563
0;2,2476000000000003;11563
0;2,2396;11563
0;2,2424;11563
0;2,2404;11563
0;2,2407;11563
0;2,2406;11563
0;2,2373;11563
0;2,2405;11563
0;2,248;11563
0;2,2371000000000003;11563
0;2,2378;11563
0;2,2401;11563
0;2,246;11563
0;2,238;11563
0;2,2393;11563
0;2,2445999999999997;11563
0;2,2376;11563
0;2,2377;11563
0;2,2366;11563
0;2,2396;11563
0;2,2541;11563
0;2,2373;11563
0;2,2444;11563
0;2,2396;11563
0;2,2382999999999997;11563
0;2,2429;11563
0;2,2485999999999997;11563
0;2,2384000000000004;11563
0;2,2363;11563
0;2,2548;11563
0;2,2466;11563
0;2,2617000000000003;11563
0;2,315;11563
0;2,2391;11563
0;2,2365000000000004;11563
0;2,2380999999999998;11563
0;2,2459;11563
0;2,2412;11563
0;2,3106;11563
0;2,2388;11563
0;2,2363999999999997;11563
0;2,2150999999999996;11563
0;2,2214;11563
0;2,1854;11563
0;2,1860999999999997;11563
0;2,3779;11563
0;2,1896;11563
0;2,185;11563
0;2,1906;11563
0;2,2142;11563
0;2,1846;11563
0;2,1869;11563
0;2,49;11563
0;2,3216;11563
0;2,1919;11563
0;2,1881;11563
0;2,2135000000000002;11563
0;2,1854999999999998;11563
0;2,1854;11563
0;2,2296;11563
0;2,2348;11563
0;2,1989;11563
0;2,2230000000000003;11563
0;2,1884;11563
0;2,1921000000000004;11563
0;2,1913;11563
0;2,1936;11563
0;2,4013;11563
0;2,2201999999999997;11563
0;2,1883;11563
0;2,186;11563
0;2,1954000000000002;11563
0;2,1947;11563
0;2,1866;11563
